indicatorId,geoUnit,year,type,subtype,value
LR.AG15T99,BEN,2019,Source,Data sources,"Benin Enquete Harmonisee sur les Conditions de Vie des Menages (EHCVM) 2018-19. Respondents 3 years of age and above were asked to declare whether they could read and write a short text (in French, local or any other language) by responding yes/no."
LR.AG15T99,BEN,2021,Source,Data sources,Benin MICS 2021-22. A literacy test was administered to men and women aged 15-49 whose highest level of educational attendance was primary schooling or lower. The test consisted of an enumerator administered assessment on the ability of the respondent to read a short and simple sentence. Those who could partially or fully read the sentence are considered literate. Respondents above the educational attainment threshold for whom the test was not administered were imputed as literate. Literacy status was imputed via a statistical model for older age groups not covered by the assessment.
LR.AG15T99,BEN,2022,Source,Data sources,"Benin Enquete Harmonisee sur les Conditions de Vie des Menages (EHCVM) 2021-22. Respondents 3 years of age and above were asked to declare whether they could read and write a short text (in French, local or any other language) by responding yes/no."
LR.AG15T99,BFA,2003,Data Status,Data reporting,"Literacy definition:
Literates are persons who declare that they can read and write in any language."
LR.AG15T99,BFA,2003,Source,Data sources,Source: Household Life Conditions Survey
LR.AG15T99,BFA,2005,Data Status,Data reporting,"Literacy definition:
Literates are persons who declare that they can read and write in any language."
LR.AG15T99,BFA,2005,Source,Data sources,Source: Household Life Conditions Survey
LR.AG15T99,BFA,2006,Data Status,Data reporting,"Literacy definition:
Does (Name of a person) know how to read and write fluently in a language? Specify the main foreign language spoken and written on the first line and the second local language spoken and written on the second line."
LR.AG15T99,BFA,2006,Source,Data sources,Source: Population Census
LR.AG15T99,BFA,2007,Data Status,Data reporting,"Literacy definition:
Literates are persons who declare that they can read and write in any language."
LR.AG15T99,BFA,2007,Source,Data sources,Source: Household Life Conditions Survey
LR.AG15T99,BFA,2014,Data Status,Data reporting,"Literacy definition:
(Name of a person) can he/she read and write in these languages? (French, the national language, another language)."
LR.AG15T99,BFA,2014,Source,Data sources,Source: Multi-sector continuous survey
LR.AG15T99,BFA,2018,Data Status,Data reporting,"Literacy definition:
Can (Name of a person) read a short text?
Can (Name of a person) write a short text?"
LR.AG15T99,BFA,2018,Source,Data sources,Source: Harmonized survey on household living conditions 2018 (EHCVM-2018)
LR.AG15T99,BFA,2019,Data Status,Data reporting,"Literacy definition:
Can (Name of a person) read and write fluently in any language? 
a-None; b-French; c-Arabic; d-English; e-Moore; F-Gourmantchema; g-Dioula; h-Fulfude; i-Dagara; j-Other national language; k-Other foreign language"
LR.AG15T99,BFA,2019,Source,Data sources,Source: Population Census
LR.AG15T99,BFA,2021,Source,Data sources,Burkina Faso DHS 2021. A literacy test was administered to women aged 15-49 and men aged 15-59 whose highest level of educational attendance was upper secondary schooling or lower. The test consisted of an enumerator administered assessment on the ability of the respondent to read a short and simple sentence. Those who could partially or fully read the sentence are considered literate. Respondents above the educational attainment threshold for whom the test was not administered were imputed as literate. Literacy status was imputed via a statistical model for older age groups not covered by the assessment.
LR.AG15T99,BFA,2022,Source,Data sources,"Burkina Faso Enquete Harmonisee sur les Conditions de Vie des Menages (EHCVM) 2021-22. Respondents 3 years of age and above were asked to declare whether they could read and write a short text (in French, local or any other language) by responding yes/no."
LR.AG15T99,BFA,2023,Source,Data sources,"UIS based on LFS - Regional Integrated Survey on Employment and the Informal Sector: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 3 years and above were asked to self-assess their ability to read and write a short, simple text in one or more languages (National, French, English, Arabic, or other foreign languages). For each language in which they could read or write, follow-up questions assessed whether they understood what they read or wrote."
LR.AG15T99,BGD,2001,Data Status,Data reporting,"Literacy definition:
A person who is able to write a letter in any language has been considered as literate."
LR.AG15T99,BGD,2001,Source,Data sources,Source: Population Census
LR.AG15T99,BGD,2011,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter for any communication in Bangla."
LR.AG15T99,BGD,2011,Source,Data sources,Source: Sample Vital Registration System (SVRS)
LR.AG15T99,BGD,2012,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter for any communication in Bangla."
LR.AG15T99,BGD,2012,Source,Data sources,Source: Sample Vital Registration System (SVRS)
LR.AG15T99,BGD,2013,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter for any communication in Bangla."
LR.AG15T99,BGD,2013,Source,Data sources,Source: Sample Vital Registration System (SVRS)
LR.AG15T99,BGD,2014,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter for any communication in Bangla."
LR.AG15T99,BGD,2014,Source,Data sources,Source: Sample Vital Registration System (SVRS)
LR.AG15T99,BGD,2015,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter for any communication in Bangla."
LR.AG15T99,BGD,2015,Source,Data sources,Source: Sample Vital Registration System (SVRS)
LR.AG15T99,BGD,2016,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter for any communication in Bangla."
LR.AG15T99,BGD,2016,Source,Data sources,Source: Sample Vital Registration System (SVRS)
LR.AG15T99,BGD,2017,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter for any communication in Bangla."
LR.AG15T99,BGD,2017,Source,Data sources,Source: Sample Vital Registration System (SVRS)
LR.AG15T99,BGD,2018,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter for any communication in Bangla."
LR.AG15T99,BGD,2018,Source,Data sources,Source: Sample Vital Registration System (SVRS)
LR.AG15T99,BGD,2019,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter for any communication in Bangla."
LR.AG15T99,BGD,2019,Source,Data sources,Source: Sample Vital Registration System (SVRS)
LR.AG15T99,BGD,2020,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter for any communication in Bangla."
LR.AG15T99,BGD,2020,Source,Data sources,Source: Sample Vital Registration System (SVRS)
LR.AG15T99,BGD,2021,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter"
LR.AG15T99,BGD,2021,Source,Data sources,Source: Sample Vital Registration System (SVRS) in digital platform
LR.AG15T99,BGD,2022,Data Status,Data reporting,"Literacy definition:
A literate is a person who can read and write a letter"
LR.AG15T99,BGD,2022,Source,Data sources,Source: Population Census
LR.AG15T99,BGR,2001,Data Status,Data reporting,"Literacy definition:
Literate persons are those who can read and write."
LR.AG15T99,BGR,2001,Source,Data sources,Source: Population Census
LR.AG15T99,BGR,2011,Data Status,Data reporting,"Literacy definition:
Can you read and write?"
LR.AG15T99,BGR,2011,Source,Data sources,Source: Population Census
LR.AG15T99,BHR,2001,Data Status,Data reporting,"Literacy definition:
Illiterate persons are those who cannot read and write, as well as persons who can read only, for example a person who studied the QurA'an."
