source_id,source_name,source_url,event_date,country_codes,actors,event_type,confidence,notes
167:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1937-07-08,TUR,Afghanistan,alliance,,end_date=1955-02-24
169:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1937-09-14,RUS,Russia,defense_pact,,end_date=1939-03-28
169:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1937-09-14,TUR,Turkey,defense_pact,,end_date=1939-03-28
169:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1937-09-14,EGY,Egypt,defense_pact,,end_date=1939-03-28
169:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1937-09-14,RUS|TUR,Turkey,defense_pact,,end_date=1939-03-28
171:nonaggression_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1938-07-31,TUR,Turkey,nonaggression_pact,,end_date=1940-06-18
179:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1939-06-23,TUR,Turkey,alliance,,end_date=1939-10-19
180:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1939-08-23,RUS,Russia,alliance,,end_date=1941-06-22
181:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1939-09-28,RUS,Russia,defense_pact,,end_date=1940-06-16
182:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1939-10-05,RUS,Russia,defense_pact,,end_date=1940-06-16
183:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1939-10-10,RUS,Russia,defense_pact,,end_date=1940-06-14
184:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1939-10-19,TUR,Turkey,defense_pact,,end_date=1940-06-22
186:nonaggression_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1940-03-12,RUS,Finland,nonaggression_pact,,end_date=1941-06-25
190:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1941-04-05,RUS,Russia,alliance,,end_date=1941-04-20
191:neutrality_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1941-04-13,RUS,Japan,neutrality_pact,,end_date=1945-04-05
192:nonaggression_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1941-06-18,TUR,Turkey,nonaggression_pact,,end_date=1945-05-08
193:defense_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1941-07-12,RUS,Russia,defense_pact,,end_date=1955-05-07
195:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1942-01-29,RUS,Russia,alliance,,end_date=1946-03-19
195:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1942-01-29,IRN,Iran,alliance,,end_date=1946-03-19
