Quarter,Quarter Label,Economy,Economy Label,Index (Average Q1 2023 = 100),Index (Average Q1 2023 = 100) Footnote,Index (Average Q1 2023 = 100) Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value,Ranking per quarter,Ranking per quarter Footnote,Ranking per quarter Missing value
2006Q01,"Q1 2006",174,"Comoros",13.18543,,,,,"No value reported or collected",,,"No value reported or collected",147,,
2006Q01,"Q1 2006",178,"Congo",49.69649,,,,,"No value reported or collected",,,"No value reported or collected",84,,
2006Q01,"Q1 2006",184,"Cook Islands",3.26918,,,,,"No value reported or collected",,,"No value reported or collected",172,,
2006Q01,"Q1 2006",188,"Costa Rica",80.76995,,,,,"No value reported or collected",,,"No value reported or collected",49,,
2006Q01,"Q1 2006",384,"Cote d'Ivoire",77.30143,,,,,"No value reported or collected",,,"No value reported or collected",53,,
2006Q01,"Q1 2006",191,"Croatia",31.4686,,,,,"No value reported or collected",,,"No value reported or collected",113,,
2006Q01,"Q1 2006",192,"Cuba",32.85937,,,,,"No value reported or collected",,,"No value reported or collected",108,,
2006Q01,"Q1 2006",531,"Curacao",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006Q01,"Q1 2006",196,"Cyprus",57.53441,,,,,"No value reported or collected",,,"No value reported or collected",73,,
2006Q01,"Q1 2006",408,"Dem. People's Rep. of Korea",2.98765,,,,,"No value reported or collected",,,"No value reported or collected",173,,
2006Q01,"Q1 2006",180,"Dem. Rep. of the Congo",21.55401,,,,,"No value reported or collected",,,"No value reported or collected",131,,
2006Q01,"Q1 2006",208,"Denmark",68.73565,,,,,"No value reported or collected",,,"No value reported or collected",61,,
2006Q01,"Q1 2006",262,"Djibouti",50.94366,,,,,"No value reported or collected",,,"No value reported or collected",81,,
2006Q01,"Q1 2006",212,"Dominica",23.747,,,,,"No value reported or collected",,,"No value reported or collected",120,,
2006Q01,"Q1 2006",214,"Dominican Republic",107.54107,,,,,"No value reported or collected",,,"No value reported or collected",41,,
2006Q01,"Q1 2006",218,"Ecuador",68.94122,,,,,"No value reported or collected",,,"No value reported or collected",60,,
2006Q01,"Q1 2006",818,"Egypt",221.114,,,,,"No value reported or collected",,,"No value reported or collected",17,,
2006Q01,"Q1 2006",222,"El Salvador",25.09637,,,,,"No value reported or collected",,,"No value reported or collected",118,,
2006Q01,"Q1 2006",226,"Equatorial Guinea",23.31697,,,,,"No value reported or collected",,,"No value reported or collected",121,,
2006Q01,"Q1 2006",232,"Eritrea",13.24641,,,,,"No value reported or collected",,,"No value reported or collected",146,,
2006Q01,"Q1 2006",233,"Estonia",32.61637,,,,,"No value reported or collected",,,"No value reported or collected",110,,
2006Q01,"Q1 2006",234,"Faroe Islands",11.58727,,,,,"No value reported or collected",,,"No value reported or collected",150,,
2006Q01,"Q1 2006",242,"Fiji",35.11815,,,,,"No value reported or collected",,,"No value reported or collected",101,,
2006Q01,"Q1 2006",246,"Finland",81.64712,,,,,"No value reported or collected",,,"No value reported or collected",48,,
2006Q01,"Q1 2006",250,"France",298.77778,,,,,"No value reported or collected",,,"No value reported or collected",15,,
2006Q01,"Q1 2006",254,"French Guiana",21.66853,,,,,"No value reported or collected",,,"No value reported or collected",128,,
2006Q01,"Q1 2006",258,"French Polynesia",38.7793,,,,,"No value reported or collected",,,"No value reported or collected",94,,
2006Q01,"Q1 2006",266,"Gabon",37.59804,,,,,"No value reported or collected",,,"No value reported or collected",97,,
2006Q01,"Q1 2006",270,"Gambia",10.81612,,,,,"No value reported or collected",,,"No value reported or collected",154,,
2006Q01,"Q1 2006",268,"Georgia",21.35755,,,,,"No value reported or collected",,,"No value reported or collected",133,,
2006Q01,"Q1 2006",276,"Germany",464.46433,,,,,"No value reported or collected",,,"No value reported or collected",7,,
2006Q01,"Q1 2006",288,"Ghana",72.53675,,,,,"No value reported or collected",,,"No value reported or collected",57,,
2006Q01,"Q1 2006",292,"Gibraltar",6.71792,,,,,"No value reported or collected",,,"No value reported or collected",164,,
2006Q01,"Q1 2006",300,"Greece",129.24585,,,,,"No value reported or collected",,,"No value reported or collected",30,,
2006Q01,"Q1 2006",304,"Greenland",4.48596,,,,,"No value reported or collected",,,"No value reported or collected",170,,
2006Q01,"Q1 2006",308,"Grenada",22.66403,,,,,"No value reported or collected",,,"No value reported or collected",125,,
2006Q01,"Q1 2006",312,"Guadeloupe",37.74954,,,,,"No value reported or collected",,,"No value reported or collected",96,,
2006Q01,"Q1 2006",316,"Guam",21.63257,,,,,"No value reported or collected",,,"No value reported or collected",130,,
2006Q01,"Q1 2006",320,"Guatemala",91.6463,,,,,"No value reported or collected",,,"No value reported or collected",45,,
2006Q01,"Q1 2006",831,"Guernsey",4.75538,,,,,"No value reported or collected",,,"No value reported or collected",167,,
2006Q01,"Q1 2006",324,"Guinea",34.96756,,,,,"No value reported or collected",,,"No value reported or collected",102,,
2006Q01,"Q1 2006",624,"Guinea-Bissau",10.25497,,,,,"No value reported or collected",,,"No value reported or collected",155,,
2006Q01,"Q1 2006",328,"Guyana",33.37324,,,,,"No value reported or collected",,,"No value reported or collected",106,,
2006Q01,"Q1 2006",332,"Haiti",18.42788,,,,,"No value reported or collected",,,"No value reported or collected",137,,
2006Q01,"Q1 2006",340,"Honduras",59.19679,,,,,"No value reported or collected",,,"No value reported or collected",68,,
2006Q01,"Q1 2006",352,"Iceland",18.63188,,,,,"No value reported or collected",,,"No value reported or collected",136,,
2006Q01,"Q1 2006",356,"India",212.11591,,,,,"No value reported or collected",,,"No value reported or collected",19,,
2006Q01,"Q1 2006",360,"Indonesia",215.79925,,,,,"No value reported or collected",,,"No value reported or collected",18,,
2006Q01,"Q1 2006",364,"Iran (Islamic Republic of)",92.87752,,,,,"No value reported or collected",,,"No value reported or collected",44,,
2006Q01,"Q1 2006",368,"Iraq",8.42721,,,,,"No value reported or collected",,,"No value reported or collected",161,,
2006Q01,"Q1 2006",372,"Ireland",74.1217,,,,,"No value reported or collected",,,"No value reported or collected",56,,
2006Q01,"Q1 2006",376,"Israel",101.58839,,,,,"No value reported or collected",,,"No value reported or collected",42,,
2006Q01,"Q1 2006",380,"Italy",326.29583,,,,,"No value reported or collected",,,"No value reported or collected",14,,
2006Q01,"Q1 2006",388,"Jamaica",117.20813,,,,,"No value reported or collected",,,"No value reported or collected",36,,
2006Q01,"Q1 2006",392,"Japan",499.265,,,,,"No value reported or collected",,,"No value reported or collected",5,,
2006Q01,"Q1 2006",832,"Jersey",4.75538,,,,,"No value reported or collected",,,"No value reported or collected",167,,
2006Q01,"Q1 2006",400,"Jordan",69.64958,,,,,"No value reported or collected",,,"No value reported or collected",59,,
2006Q01,"Q1 2006",404,"Kenya",55.14892,,,,,"No value reported or collected",,,"No value reported or collected",76,,
2006Q01,"Q1 2006",414,"Kuwait",51.15089,,,,,"No value reported or collected",,,"No value reported or collected",80,,
2006Q01,"Q1 2006",428,"Latvia",34.08158,,,,,"No value reported or collected",,,"No value reported or collected",104,,
2006Q01,"Q1 2006",422,"Lebanon",74.70901,,,,,"No value reported or collected",,,"No value reported or collected",55,,
2006Q01,"Q1 2006",430,"Liberia",11.50163,,,,,"No value reported or collected",,,"No value reported or collected",151,,
2006Q01,"Q1 2006",434,"Libya",37.31235,,,,,"No value reported or collected",,,"No value reported or collected",98,,
2006Q01,"Q1 2006",440,"Lithuania",29.83233,,,,,"No value reported or collected",,,"No value reported or collected",115,,
2006Q01,"Q1 2006",450,"Madagascar",39.44987,,,,,"No value reported or collected",,,"No value reported or collected",92,,
2006Q01,"Q1 2006",458,"Malaysia",388.24232,,,,,"No value reported or collected",,,"No value reported or collected",11,,
2006Q01,"Q1 2006",462,"Maldives",21.64622,,,,,"No value reported or collected",,,"No value reported or collected",129,,
2006Q01,"Q1 2006",470,"Malta",89.56136,,,,,"No value reported or collected",,,"No value reported or collected",47,,
2006Q01,"Q1 2006",584,"Marshall Islands",11.04635,,,,,"No value reported or collected",,,"No value reported or collected",153,,
2006Q01,"Q1 2006",474,"Martinique",39.35447,,,,,"No value reported or collected",,,"No value reported or collected",93,,
2006Q01,"Q1 2006",478,"Mauritania",21.92953,,,,,"No value reported or collected",,,"No value reported or collected",127,,
2006Q01,"Q1 2006",480,"Mauritius",56.88894,,,,,"No value reported or collected",,,"No value reported or collected",74,,
2006Q01,"Q1 2006",175,"Mayotte",21.36421,,,,,"No value reported or collected",,,"No value reported or collected",132,,
2006Q01,"Q1 2006",484,"Mexico",143.57093,,,,,"No value reported or collected",,,"No value reported or collected",26,,
2006Q01,"Q1 2006",583,"Micronesia (Federated States of)",5.88491,,,,,"No value reported or collected",,,"No value reported or collected",166,,
2006Q01,"Q1 2006",499,"Montenegro",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006Q01,"Q1 2006",504,"Morocco",63.73561,,,,,"No value reported or collected",,,"No value reported or collected",64,,
2006Q01,"Q1 2006",508,"Mozambique",32.46816,,,,,"No value reported or collected",,,"No value reported or collected",111,,
2006Q01,"Q1 2006",104,"Myanmar",15.88337,,,,,"No value reported or collected",,,"No value reported or collected",140,,
2006Q01,"Q1 2006",516,"Namibia",32.79862,,,,,"No value reported or collected",,,"No value reported or collected",109,,
2006Q01,"Q1 2006",528,"Netherlands (Kingdom of the)",432.40425,,,,,"No value reported or collected",,,"No value reported or collected",8,,
2006Q01,"Q1 2006",530,"Netherlands Antilles",57.65372,,,,,"No value reported or collected",,,"No value reported or collected",72,,
2006Q01,"Q1 2006",540,"New Caledonia",42.14516,,,,,"No value reported or collected",,,"No value reported or collected",89,,
2006Q01,"Q1 2006",554,"New Zealand",91.37828,,,,,"No value reported or collected",,,"No value reported or collected",46,,
2006Q01,"Q1 2006",558,"Nicaragua",14.77368,,,,,"No value reported or collected",,,"No value reported or collected",142,,
2006Q01,"Q1 2006",566,"Nigeria",75.94654,,,,,"No value reported or collected",,,"No value reported or collected",54,,
2006Q01,"Q1 2006",574,"Norfolk Island",2.96564,,,,,"No value reported or collected",,,"No value reported or collected",174,,
2006Q01,"Q1 2006",580,"Northern Mariana Islands",9.87232,,,,,"No value reported or collected",,,"No value reported or collected",156,,
2006Q01,"Q1 2006",578,"Norway",43.57233,,,,,"No value reported or collected",,,"No value reported or collected",88,,
2006Q01,"Q1 2006",512,"Oman",93.39606,,,,,"No value reported or collected",,,"No value reported or collected",43,,
2006Q01,"Q1 2006",586,"Pakistan",118.12758,,,,,"No value reported or collected",,,"No value reported or collected",35,,
2006Q01,"Q1 2006",585,"Palau",9.87232,,,,,"No value reported or collected",,,"No value reported or collected",156,,
2006Q01,"Q1 2006",591,"Panama",116.78859,,,,,"No value reported or collected",,,"No value reported or collected",37,,
2006Q01,"Q1 2006",598,"Papua New Guinea",31.02516,,,,,"No value reported or collected",,,"No value reported or collected",114,,
2006Q01,"Q1 2006",604,"Peru",78.65029,,,,,"No value reported or collected",,,"No value reported or collected",51,,
2006Q01,"Q1 2006",608,"Philippines",123.38551,,,,,"No value reported or collected",,,"No value reported or collected",34,,
2006Q01,"Q1 2006",616,"Poland",52.31578,,,,,"No value reported or collected",,,"No value reported or collected",79,,
2006Q01,"Q1 2006",620,"Portugal",127.3443,,,,,"No value reported or collected",,,"No value reported or collected",31,,
2006Q01,"Q1 2006",630,"Puerto Rico",71.31492,,,,,"No value reported or collected",,,"No value reported or collected",58,,
2006Q01,"Q1 2006",634,"Qatar",39.79111,,,,,"No value reported or collected",,,"No value reported or collected",91,,
2006Q01,"Q1 2006",410,"Republic of Korea",428.34609,,,,,"No value reported or collected",,,"No value reported or collected",9,,
2006Q01,"Q1 2006",638,"Reunion",46.04898,,,,,"No value reported or collected",,,"No value reported or collected",87,,
2006Q01,"Q1 2006",642,"Romania",63.4142,,,,,"No value reported or collected",,,"No value reported or collected",65,,
2006Q01,"Q1 2006",643,"Russian Federation",125.42815,,,,,"No value reported or collected",,,"No value reported or collected",33,,
2006Q01,"Q1 2006",659,"Saint Kitts and Nevis",12.88739,,,,,"No value reported or collected",,,"No value reported or collected",148,,
2006Q01,"Q1 2006",662,"Saint Lucia",22.67147,,,,,"No value reported or collected",,,"No value reported or collected",124,,
2006Q01,"Q1 2006",670,"Saint Vincent and the Grenadines",24.93048,,,,,"No value reported or collected",,,"No value reported or collected",119,,
2006Q01,"Q1 2006",882,"Samoa",34.39029,,,,,"No value reported or collected",,,"No value reported or collected",103,,
2006Q01,"Q1 2006",678,"Sao Tome and Principe",12.43406,,,,,"No value reported or collected",,,"No value reported or collected",149,,
2006Q01,"Q1 2006",682,"Saudi Arabia",191.7191,,,,,"No value reported or collected",,,"No value reported or collected",21,,
2006Q01,"Q1 2006",686,"Senegal",58.77901,,,,,"No value reported or collected",,,"No value reported or collected",69,,
2006Q01,"Q1 2006",891,"Serbia and Montenegro",4.59941,,,,,"No value reported or collected",,,"No value reported or collected",169,,
2006Q01,"Q1 2006",690,"Seychelles",17.74464,,,,,"No value reported or collected",,,"No value reported or collected",138,,
2006Q01,"Q1 2006",694,"Sierra Leone",11.50163,,,,,"No value reported or collected",,,"No value reported or collected",151,,
2006Q01,"Q1 2006",702,"Singapore",538.75282,,,,,"No value reported or collected",,,"No value reported or collected",3,,
2006Q01,"Q1 2006",534,"Sint Maarten (Dutch part)",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006Q01,"Q1 2006",705,"Slovenia",49.51461,,,,,"No value reported or collected",,,"No value reported or collected",86,,
2006Q01,"Q1 2006",090,"Solomon Islands",21.03949,,,,,"No value reported or collected",,,"No value reported or collected",135,,
2006Q01,"Q1 2006",706,"Somalia",13.80221,,,,,"No value reported or collected",,,"No value reported or collected",144,,
2006Q01,"Q1 2006",710,"South Africa",126.73163,,,,,"No value reported or collected",,,"No value reported or collected",32,,
2006Q01,"Q1 2006",724,"Spain",373.56573,,,,,"No value reported or collected",,,"No value reported or collected",12,,
2006Q01,"Q1 2006",144,"Sri Lanka",159.57196,,,,,"No value reported or collected",,,"No value reported or collected",24,,
2006Q01,"Q1 2006",729,"Sudan",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006Q01,"Q1 2006",736,"Sudan (...2011)",37.17777,,,,,"No value reported or collected",,,"No value reported or collected",99,,
2006Q01,"Q1 2006",740,"Suriname",33.37324,,,,,"No value reported or collected",,,"No value reported or collected",106,,
2006Q01,"Q1 2006",752,"Sweden",113.1248,,,,,"No value reported or collected",,,"No value reported or collected",40,,
2006Q01,"Q1 2006",760,"Syrian Arab Republic",50.19231,,,,,"No value reported or collected",,,"No value reported or collected",82,,
2006Q01,"Q1 2006",764,"Thailand",195.56452,,,,,"No value reported or collected",,,"No value reported or collected",20,,
2006Q01,"Q1 2006",626,"Timor-Leste",8.96421,,,,,"No value reported or collected",,,"No value reported or collected",160,,
2006Q01,"Q1 2006",768,"Togo",52.44123,,,,,"No value reported or collected",,,"No value reported or collected",78,,
2006Q01,"Q1 2006",776,"Tonga",25.36567,,,,,"No value reported or collected",,,"No value reported or collected",117,,
2006Q01,"Q1 2006",780,"Trinidad and Tobago",79.60564,,,,,"No value reported or collected",,,"No value reported or collected",50,,
2006Q01,"Q1 2006",788,"Tunisia",50.11803,,,,,"No value reported or collected",,,"No value reported or collected",83,,
2006Q01,"Q1 2006",792,"Turkiye",163.38713,,,,,"No value reported or collected",,,"No value reported or collected",23,,
2006Q01,"Q1 2006",796,"Turks and Caicos Islands",6.2486,,,,,"No value reported or collected",,,"No value reported or collected",165,,
2006Q01,"Q1 2006",804,"Ukraine",57.93784,,,,,"No value reported or collected",,,"No value reported or collected",71,,
2006Q01,"Q1 2006",784,"United Arab Emirates",247.9318,,,,,"No value reported or collected",,,"No value reported or collected",16,,
2006Q01,"Q1 2006",826,"United Kingdom",488.01969,,,,,"No value reported or collected",,,"No value reported or collected",6,,
2006Q01,"Q1 2006",834,"United Republic of Tanzania",52.52366,,,,,"No value reported or collected",,,"No value reported or collected",77,,
2006Q01,"Q1 2006",840,"United States",505.61226,,,,,"No value reported or collected",,,"No value reported or collected",4,,
2006Q01,"Q1 2006",850,"United States Virgin Islands",22.11372,,,,,"No value reported or collected",,,"No value reported or collected",126,,
2006Q01,"Q1 2006",858,"Uruguay",68.65484,,,,,"No value reported or collected",,,"No value reported or collected",62,,
2006Q01,"Q1 2006",548,"Vanuatu",23.31189,,,,,"No value reported or collected",,,"No value reported or collected",122,,
2006Q01,"Q1 2006",862,"Venezuela (Bolivarian Rep. of)",115.95247,,,,,"No value reported or collected",,,"No value reported or collected",39,,
2006Q01,"Q1 2006",704,"Viet Nam",135.02332,,,,,"No value reported or collected",,,"No value reported or collected",28,,
2006Q01,"Q1 2006",876,"Wallis and Futuna Islands",9.46819,,,,,"No value reported or collected",,,"No value reported or collected",158,,
2006Q01,"Q1 2006",887,"Yemen",55.36301,,,,,"No value reported or collected",,,"No value reported or collected",75,,
2006Q02,"Q2 2006",012,"Algeria",61.42825,,,,,"No value reported or collected",2.8914,,,68,,
2006Q02,"Q2 2006",016,"American Samoa",31.72275,,,,,"No value reported or collected",-0.0162,,,113,,
2006Q02,"Q2 2006",024,"Angola",63.2506,,,,,"No value reported or collected",2.7715,,,67,,
2006Q02,"Q2 2006",660,"Anguilla",6.89737,,,,,"No value reported or collected",-10.7881,,,163,,
2006Q02,"Q2 2006",028,"Antigua and Barbuda",24.65152,,,,,"No value reported or collected",7.5025,,,123,,
2006Q02,"Q2 2006",032,"Argentina",114.39185,,,,,"No value reported or collected",-1.9273,,,38,,
2006Q02,"Q2 2006",533,"Aruba",30.64205,,,,,"No value reported or collected",11.0186,,,114,,
2006Q02,"Q2 2006",036,"Australia",141.64777,,,,,"No value reported or collected",1.7626,,,27,,
2006Q02,"Q2 2006",044,"Bahamas",53.47712,,,,,"No value reported or collected",-7.9149,,,75,,
2006Q02,"Q2 2006",048,"Bahrain",33.71764,,,,,"No value reported or collected",0.0054,,,107,,
2006Q02,"Q2 2006",050,"Bangladesh",44.4261,,,,,"No value reported or collected",7.6093,,,88,,
2006Q02,"Q2 2006",052,"Barbados",36.60701,,,,,"No value reported or collected",0,,,101,,
2006Q02,"Q2 2006",056,"Belgium",422.9672,,,,,"No value reported or collected",0.6407,,,10,,
2006Q02,"Q2 2006",084,"Belize",14.72716,,,,,"No value reported or collected",0,,,143,,
2006Q02,"Q2 2006",204,"Benin",39.97546,,,,,"No value reported or collected",-19.4393,,,92,,
2006Q02,"Q2 2006",060,"Bermuda",7.79287,,,,,"No value reported or collected",0,,,161,,
2006Q02,"Q2 2006",535,"Bonaire, Sint Eustatius and Saba",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006Q02,"Q2 2006",076,"Brazil",164.80219,,,,,"No value reported or collected",-0.3256,,,23,,
2006Q02,"Q2 2006",092,"British Virgin Islands",13.69094,,,,,"No value reported or collected",2.943,,,149,,
2006Q02,"Q2 2006",096,"Brunei Darussalam",21.21284,,,,,"No value reported or collected",0.094,,,135,,
2006Q02,"Q2 2006",100,"Bulgaria",36.47123,,,,,"No value reported or collected",-4.5931,,,102,,
2006Q02,"Q2 2006",132,"Cabo Verde",15.54513,,,,,"No value reported or collected",-1.5579,,,141,,
2006Q02,"Q2 2006",116,"Cambodia",17.10096,,,,,"No value reported or collected",0.0566,,,140,,
2006Q02,"Q2 2006",120,"Cameroon",66.46745,,,,,"No value reported or collected",-2.343,,,64,,
2006Q02,"Q2 2006",124,"Canada",158.75559,,,,,"No value reported or collected",0.8278,,,25,,
2006Q02,"Q2 2006",136,"Cayman Islands",9.32751,,,,,"No value reported or collected",0,,,159,,
2006Q02,"Q2 2006",152,"Chile",82.94201,,,,,"No value reported or collected",5.929,,,51,,
2006Q02,"Q2 2006",156,"China",736.63675,,,,,"No value reported or collected",2.6367,,,1,,
2006Q02,"Q2 2006",344,"China, Hong Kong SAR",558.63217,,,,,"No value reported or collected",0.5939,,,2,,
2006Q02,"Q2 2006",158,"China, Taiwan Province of",359.37833,,,,,"No value reported or collected",0.2117,,,13,,
2006Q02,"Q2 2006",166,"Cocos (Keeling) Islands",3.4796,,,,,"No value reported or collected",0,,,171,,
2006Q02,"Q2 2006",170,"Colombia",138.20533,,,,,"No value reported or collected",5.5692,,,28,,
2006Q02,"Q2 2006",174,"Comoros",12.03537,,,,,"No value reported or collected",-8.7222,,,153,,
2006Q02,"Q2 2006",178,"Congo",52.52662,,,,,"No value reported or collected",5.6948,,,79,,
2006Q02,"Q2 2006",184,"Cook Islands",3.26918,,,,,"No value reported or collected",0,,,172,,
2006Q02,"Q2 2006",188,"Costa Rica",83.26929,,,,,"No value reported or collected",3.0944,,,50,,
2006Q02,"Q2 2006",384,"Cote d'Ivoire",78.85654,,,,,"No value reported or collected",2.0117,,,53,,
2006Q02,"Q2 2006",191,"Croatia",33.70626,,,,,"No value reported or collected",7.1108,,,108,,
2006Q02,"Q2 2006",192,"Cuba",32.35022,,,,,"No value reported or collected",-1.5495,,,112,,
2006Q02,"Q2 2006",531,"Curacao",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006Q02,"Q2 2006",196,"Cyprus",56.05379,,,,,"No value reported or collected",-2.5735,,,72,,
2006Q02,"Q2 2006",408,"Dem. People's Rep. of Korea",2.98765,,,,,"No value reported or collected",0,,,173,,
2006Q02,"Q2 2006",180,"Dem. Rep. of the Congo",21.56402,,,,,"No value reported or collected",0.0464,,,133,,
2006Q02,"Q2 2006",208,"Denmark",71.99886,,,,,"No value reported or collected",4.7475,,,59,,
2006Q02,"Q2 2006",262,"Djibouti",50.47182,,,,,"No value reported or collected",-0.9262,,,82,,
2006Q02,"Q2 2006",212,"Dominica",22.39212,,,,,"No value reported or collected",-5.7055,,,130,,
2006Q02,"Q2 2006",214,"Dominican Republic",106.02286,,,,,"No value reported or collected",-1.4117,,,41,,
2006Q02,"Q2 2006",218,"Ecuador",68.6945,,,,,"No value reported or collected",-0.3579,,,60,,
2006Q02,"Q2 2006",818,"Egypt",226.91546,,,,,"No value reported or collected",2.6237,,,17,,
2006Q02,"Q2 2006",222,"El Salvador",27.03702,,,,,"No value reported or collected",7.7328,,,116,,
2006Q02,"Q2 2006",226,"Equatorial Guinea",24.64195,,,,,"No value reported or collected",5.6825,,,124,,
2006Q02,"Q2 2006",232,"Eritrea",10.68293,,,,,"No value reported or collected",-19.3523,,,155,,
2006Q02,"Q2 2006",233,"Estonia",30.38589,,,,,"No value reported or collected",-6.8385,,,115,,
2006Q02,"Q2 2006",234,"Faroe Islands",11.58727,,,,,"No value reported or collected",0,,,154,,
2006Q02,"Q2 2006",242,"Fiji",41.55976,,,,,"No value reported or collected",18.3427,,,90,,
2006Q02,"Q2 2006",246,"Finland",84.74143,,,,,"No value reported or collected",3.7899,,,48,,
2006Q02,"Q2 2006",250,"France",296.39618,,,,,"No value reported or collected",-0.7971,,,15,,
2006Q02,"Q2 2006",254,"French Guiana",21.66853,,,,,"No value reported or collected",0,,,131,,
2006Q02,"Q2 2006",258,"French Polynesia",39.45159,,,,,"No value reported or collected",1.7336,,,93,,
2006Q02,"Q2 2006",266,"Gabon",36.64491,,,,,"No value reported or collected",-2.5351,,,100,,
2006Q02,"Q2 2006",270,"Gambia",14.39867,,,,,"No value reported or collected",33.1223,,,144,,
2006Q02,"Q2 2006",268,"Georgia",20.07018,,,,,"No value reported or collected",-6.0277,,,137,,
2006Q02,"Q2 2006",276,"Germany",480.05316,,,,,"No value reported or collected",3.3563,,,7,,
2006Q02,"Q2 2006",288,"Ghana",74.20317,,,,,"No value reported or collected",2.2973,,,56,,
2006Q02,"Q2 2006",292,"Gibraltar",7.38216,,,,,"No value reported or collected",9.8877,,,162,,
