country_code,year,metric_id,value,unit,source_url,source_name,raw_record_id,calculation,notes,sample_size,question_wording,response_mapping
IRN,2020,trust_courts_score,1.9839,score,https://www.worldvaluessurvey.org/,World Values Survey,fb53ae1ca0e2eae1,country_mean,Q70;wvs_wave=7,1488,Confidence: Justice System/Courts,1=great deal to 4=none at all
IRN,2020,trust_government_score,2.5850,score,https://www.worldvaluessurvey.org/,World Values Survey,d439c0286eb3256e,country_mean,Q71;wvs_wave=7,1489,Confidence: The Government,1=great deal to 4=none at all
IRN,2020,trust_military_score,1.4020,score,https://www.worldvaluessurvey.org/,World Values Survey,5522e9f291f1c886,country_mean,Q65;wvs_wave=7,1485,Confidence: Armed Forces,1=great deal to 4=none at all
IRN,2020,trust_police_score,1.7229,score,https://www.worldvaluessurvey.org/,World Values Survey,8449ffa164aed10e,country_mean,Q69;wvs_wave=7,1494,Confidence: The Police,1=great deal to 4=none at all
IRN,2020,willingness_to_fight_score,73.7661,score,https://www.worldvaluessurvey.org/,World Values Survey,5bfd2c50b36c845f,country_pct_yes,Q151;wvs_wave=7,1479,Would you be willing to fight for your country?,1=yes 2=no; score=percent yes
PAK,2018,attachment_to_country_score,3.6653,score,https://www.worldvaluessurvey.org/,World Values Survey,a7f198c8937c2906,country_inverted_mean,Q257;wvs_wave=7,1978,Feel close to your country,1=very close to 4=not close at all; score=5-mean
PAK,2018,national_pride_score,1.1874,score,https://www.worldvaluessurvey.org/,World Values Survey,676dadd00c661cc6,country_mean,Q254;wvs_wave=7,1974,How proud are you to be of nationality of this country?,1=very proud to 4=not at all proud; exclude 5=not nationality
PAK,2018,religious_identity_strength,2.9451,score,https://www.worldvaluessurvey.org/,World Values Survey,d8c6b0aa031ecec2,country_inverted_mean,Q173;wvs_wave=7,1969,Are you a religious person?,1=religious 2=not religious 3=atheist; score=4-mean
PAK,2018,social_trust_score,23.4967,score,https://www.worldvaluessurvey.org/,World Values Survey,91149199e5f9bb74,country_pct_yes,Q57;wvs_wave=7,1979,"Generally speaking, would you say that most people can be trusted?",1=most people can be trusted 2=need to be very careful; score=percent trusting
PAK,2018,support_for_immigration,2.2934,score,https://www.worldvaluessurvey.org/,World Values Survey,39acad39cd9aaa3e,country_inverted_mean,Q130;wvs_wave=7,1902,Immigration policy preference for people coming to work,1=let anyone come to 4=prohibit; score=5-mean
PAK,2018,support_for_traditional_values,2.0964,score,https://www.worldvaluessurvey.org/,World Values Survey,ef6b8ec45f45af3f,country_inverted_mean,Q45;wvs_wave=7,1920,Future changes: Greater respect for authority,1=good thing to 3=bad thing; score=4-mean
PAK,2018,trust_courts_score,2.2731,score,https://www.worldvaluessurvey.org/,World Values Survey,05481383aa273cad,country_mean,Q70;wvs_wave=7,1944,Confidence: Justice System/Courts,1=great deal to 4=none at all
PAK,2018,trust_government_score,2.2908,score,https://www.worldvaluessurvey.org/,World Values Survey,679113c8081d273f,country_mean,Q71;wvs_wave=7,1957,Confidence: The Government,1=great deal to 4=none at all
PAK,2018,trust_military_score,1.2824,score,https://www.worldvaluessurvey.org/,World Values Survey,14139612d67213e0,country_mean,Q65;wvs_wave=7,1983,Confidence: Armed Forces,1=great deal to 4=none at all
PAK,2018,trust_police_score,2.7818,score,https://www.worldvaluessurvey.org/,World Values Survey,e680c5ae14b7f58a,country_mean,Q69;wvs_wave=7,1952,Confidence: The Police,1=great deal to 4=none at all
PAK,2018,willingness_to_fight_score,88.1687,score,https://www.worldvaluessurvey.org/,World Values Survey,a5250dcd26695c79,country_pct_yes,Q151;wvs_wave=7,1944,Would you be willing to fight for your country?,1=yes 2=no; score=percent yes
RUS,2017,attachment_to_country_score,3.0872,score,https://www.worldvaluessurvey.org/,World Values Survey,bd5fe2830455cd2a,country_inverted_mean,Q257;wvs_wave=7,1767,Feel close to your country,1=very close to 4=not close at all; score=5-mean
RUS,2017,national_pride_score,1.6532,score,https://www.worldvaluessurvey.org/,World Values Survey,fd63c5ad1f149138,country_mean,Q254;wvs_wave=7,1759,How proud are you to be of nationality of this country?,1=very proud to 4=not at all proud; exclude 5=not nationality
RUS,2017,religious_identity_strength,2.7732,score,https://www.worldvaluessurvey.org/,World Values Survey,78a51f2ba25261fe,country_inverted_mean,Q173;wvs_wave=7,1671,Are you a religious person?,1=religious 2=not religious 3=atheist; score=4-mean
RUS,2017,social_trust_score,23.9093,score,https://www.worldvaluessurvey.org/,World Values Survey,7eb0602256a114ea,country_pct_yes,Q57;wvs_wave=7,1765,"Generally speaking, would you say that most people can be trusted?",1=most people can be trusted 2=need to be very careful; score=percent trusting
RUS,2017,support_for_immigration,2.1877,score,https://www.worldvaluessurvey.org/,World Values Survey,fbf83ff6c0c92e51,country_inverted_mean,Q130;wvs_wave=7,1742,Immigration policy preference for people coming to work,1=let anyone come to 4=prohibit; score=5-mean
RUS,2017,support_for_traditional_values,2.4415,score,https://www.worldvaluessurvey.org/,World Values Survey,033b6f18ced76185,country_inverted_mean,Q45;wvs_wave=7,1658,Future changes: Greater respect for authority,1=good thing to 3=bad thing; score=4-mean
RUS,2017,trust_courts_score,2.6021,score,https://www.worldvaluessurvey.org/,World Values Survey,d2ebcea467a51e40,country_mean,Q70;wvs_wave=7,1704,Confidence: Justice System/Courts,1=great deal to 4=none at all
RUS,2017,trust_government_score,2.4774,score,https://www.worldvaluessurvey.org/,World Values Survey,e3bf29d0b25a2ae7,country_mean,Q71;wvs_wave=7,1745,Confidence: The Government,1=great deal to 4=none at all
RUS,2017,trust_military_score,1.9385,score,https://www.worldvaluessurvey.org/,World Values Survey,98211138302dbf0c,country_mean,Q65;wvs_wave=7,1755,Confidence: Armed Forces,1=great deal to 4=none at all
RUS,2017,trust_police_score,2.5367,score,https://www.worldvaluessurvey.org/,World Values Survey,cf558817ee7da152,country_mean,Q69;wvs_wave=7,1759,Confidence: The Police,1=great deal to 4=none at all
